id,name,street,town,area,lat,lng,provider
350,"Drammensveien/H.Svartesgt, Oslo","Drammensveien 116A, 0273 Oslo",Oslo,Oslo,59.92009,10.69117,Oslo kommune
6514,Dælenenggata 40,"Dælenggata 40, 0567 Oslo",Oslo,Oslo,59.92955,10.76551,Oslo kommune
73,"Eckersbergs gate, Oslo","Eckersbergs gate 13, 0266 Oslo",Oslo,Oslo,59.92011,10.70113,Oslo kommune
2499,"Eckersbergs gate/Frognerveien, Oslo","Eckersbergs gate , 0266 Oslo",Oslo,Oslo,59.92008,10.70661,Oslo kommune
382,"Eco Fuel, Oslo","Madserud alle 13, 0274 Oslo",Oslo,Oslo,59.9228,10.69305,Eco Fuel AS
2500,Edvard Munchs vei,"Edvard Munchs vei , 1063 Oslo",Oslo,Oslo,59.93601,10.91792,Oslo kommune
70,"Eilert Sundts gate, Oslo","Eilert Sundts gate 51-59, 0355 Oslo",Oslo,Oslo,59.92457,10.72317,Oslo kommune
2639,Ekebergveien,"Ekebergveien 109, 1178 Oslo",Oslo,Oslo,59.88979,10.77765,Oslo kommune
6855,Ensjøveien,"Ensjøveien 14, 0655 Oslo",Oslo,Oslo,59.9141843,10.7881987,Oslo kommune
6303,Erling Michelsens vei,"Erling Michelsens vei 11, 1061 Oslo",Oslo,Oslo,59.93745,10.90548,Oslo kommune
6790,Esso Alna,"Strømsveien 241B, 0668 Oslo",Oslo,Oslo,59.92529,10.84476,Recharge
7075,Esso Ryen,"Enebakkveien 139, 0680 Oslo",Oslo,Oslo,59.8945622,10.8050726,Recharge
6882,Esso Sogn,"Torgny Segerstedts vei 11, 0372 Oslo",Oslo,Oslo,59.9482687,10.7244975,Recharge
2637,"Etterstadsletta, Oslo","Etterstadsletta 55, 0660 Oslo",Oslo,Oslo,59.91062,10.80323,Oslo kommune
2195,"Europark Sørenga, Oslo","Sørenga 2, 0150 Oslo",Oslo,Oslo,59.90242,10.75423,EuroPark AS
77,"Falbesgate, Oslo","Falbesgate 9, 0170 Oslo",Oslo,Oslo,59.92216,10.7357,Oslo kommune
1516,"Feddersens gate, Oslo","Feddersens gate 3, 0473 Oslo",Oslo,Oslo,59.93303,10.76187,Oslo kommune
2501,Feltspatveien,"Feltspatveien , 1155 Oslo",Oslo,Oslo,59.86971,10.82145,Oslo kommune
338,Filipstad P-plass,"Filipstadkaia , 0250 Oslo",Oslo,Oslo,59.90994,10.72094,Oslo kommune
6856,Flaengrenda,"Flaengrenda 18-40, 0953 Oslo",Oslo,Oslo,59.9552312,10.8728496,Oslo kommune
6472,Folke Bernadottes vei,"Folke Bernadottes vei 43, 0862 Oslo",Oslo,Oslo,59.96265,10.73778,Oslo kommune
6857,Fossumberget,"Fossumberget 5-51, 0983 Oslo",Oslo,Oslo,59.9605,10.932314,Oslo kommune
75,"Fougstads gate, Oslo","Fougstads gate 35-37, 0173 Oslo",Oslo,Oslo,59.92877,10.64613,Oslo kommune
2203,Fredensborgveien 24,"Fredensborgveien 24, 0177 Oslo",Oslo,Oslo,59.91893,10.74768,Q-park
1291,"Fredensborgveien 4, Oslo","Fredensborgveien 4, 0177 Oslo",Oslo,Oslo,59.91763,10.74605,Finn Hansen Eiendom AS
2503,"Frederik Glads gate, Oslo","Frederik Glads gate 24, 0482 Oslo",Oslo,Oslo,59.94281,10.77524,Oslo kommune
5013,Frogner Neuberggata,"Neuberggata 11, 0367 Oslo",Oslo,Oslo,59.92572,10.71487,Recharge
78,"Frognerparken, Oslo","Frognerparken , 0368 Oslo",Oslo,Oslo,59.92883,10.70671,Oslo kommune
822,"Frydenlund borettslag, Oslo","Dragonstien 99, 1062 Oslo",Oslo,Oslo,59.93731,10.91421,Frydenlund borettslag/OBOS
268,Frydenlundgata,"Frydenlundgata 3A, 0169 Oslo",Oslo,Oslo,59.92354,10.73682,Oslo kommune
293,"Frysjaparken, Oslo","Kjelsåsveien 172, 0884 Oslo",Oslo,Oslo,59.96693,10.76845,Frysjaparken DA
1075,"Fyrstikktorget Helsfyr, Oslo","Svovelstikka 3, 0661 Oslo",Oslo,Oslo,59.91315,10.79628,Oslo kommune
4762,Gabels gate,"Gabels gate 38, 0272 Oslo",Oslo,Oslo,59.91568,10.71027,Oslo kommune
4945,Galleriet Vest/Schweigaardsgate 4,"Sonja Henies plass 1, 0185 Oslo",Oslo,Oslo,59.91209,10.75484,Europark/Galleriet Parkering AS
180,"Galleriet Øst P-hus, Oslo","Tøyenbekken 21, 0188 Oslo",Oslo,Oslo,59.91175,10.76154,EuroPark AS
1481,"Gamlebyen Gravlund, Oslo","Ekebergveien 8, 0192 Oslo",Oslo,Oslo,59.90265,10.77104,Oslo kommune
2502,"Gangstuveien, Oslo","Gangstuveien , 0952 Oslo",Oslo,Oslo,59.95269,10.8787,Oslo kommune
4262,Gladengveien 3B,"Gladengveien 3B, 0661 Oslo",Oslo,Oslo,59.91467,10.7903,Ragde Eiendom
6416,Golfstubben 21-25,"Golfstubben 21-25, 0757 Oslo",Oslo,Oslo,59.96066,10.63156,Recharge
4069,"Grankollen Sameie, Oslo","Bølerbakken 2, 0690 Oslo",Oslo,Oslo,59.88591,10.84731,Grankollen Sameie
1063,Grefsenveien,"Grefsenveien 103, 0489 Oslo",Oslo,Oslo,59.95492,10.78607,Oslo kommune
1488,Grefsenveien,"Grefsenveien 63, 0487 Oslo",Oslo,Oslo,59.94557,10.78238,Oslo kommune
2021,"Grevlingveien, Oslo","Grevlingveien 5, 0595 Oslo",Oslo,Oslo,59.94409,10.84857,Oslo kommune
6493,Grorud innfartsparkering,"Trondheimsveien 466, 0962 Oslo",Oslo,Oslo,59.96032,10.88406,Oslo kommune
6515,Gråsteinveien 24,"Gråsteinveien 24, 1157 Oslo",Oslo,Oslo,59.86783,10.81612,Oslo kommune
4946,Grønland Torg P-Hus,"Tøyenbekken 19, 1056 Oslo",Oslo,Oslo,59.91196,10.76202,Grønnland Torg Parkering AS
349,"Grønlandsleiret, Oslo","Grønlandsleiret 15, 0190 Oslo",Oslo,Oslo,59.91227,10.76497,Oslo kommune
1671,"Grønnegata, Oslo","Grønnegata 2, 0350 Oslo",Oslo,Oslo,59.92126,10.72798,Oslo kommune
6858,Gustav Vigelands vei,"Gustav Vigelands vei 5-7, 0274 Oslo",Oslo,Oslo,59.923669,10.688753,Oslo kommune
2504,Gyldenløves gate,"Gyldenløves gate 10, 0260 Oslo",Oslo,Oslo,59.91869,10.71503,Oslo kommune
2505,"Gøteborggata II, Oslo","Gøteborggata 14, 0566 Oslo",Oslo,Oslo,59.92543,10.76803,Oslo kommune
347,"Gøteborggata, Oslo","Gøteborggata 9, 0566 Oslo",Oslo,Oslo,59.92415,10.76681,Oslo kommune
3343,"Hagapynten, Oslo","Hagapynten 13, 0673 Oslo",Oslo,Oslo,59.92122,10.8521,Oslo kommune
86,Hammersborg Torg,"Hammersborg Torg 1, 0179 Oslo",Oslo,Oslo,59.91674,10.7478,Oslo kommune
3183,Hans Nielsens Hauges gate  44,"Hans Nielsens Hauges gate 44, 0481 Oslo",Oslo,Oslo,59.93913,10.77694,Oslo kommune
6432,Hansteens gate,"Hansteens gate 14-18, 0253 Oslo",Oslo,Oslo,59.91336,10.72212,Oslo kommune
5981,Haraløkka parkeringsplass,"Nøklevannsveien 1, 0689 Oslo",Oslo,Oslo,59.88061,10.85663,Oslo kommune
6859,Haslevollen,"Haslevollen 3, 0579 Oslo",Oslo,Oslo,59.925464,10.791247,Oslo kommune
6420,Haugerudhagan 3A,"Haugerudhagan 3A, 0673 Oslo",Oslo,Oslo,59.91751,10.84755,Oslo kommune
2506,"Hauketo jernbanestasjon, Oslo","Nedre Prinsdals vei 1, 1266 Oslo",Oslo,Oslo,59.84844,10.80304,Oslo kommune
3281,Havreveien,"Havreveien 38, 0680 Oslo",Oslo,Oslo,59.89316,10.81105,Oslo kommune
216,"Hollendergata, Oslo","Hollendergata 5, 0190 Oslo",Oslo,Oslo,59.90998,10.76636,Oslo kommune
7291,Holmenkollbakken,"Kongeveien 40, 0787 Oslo",Oslo,Oslo,59.96459,10.66651,Oslo kommune
7290,Holmenkollen Nasjonalanlegg,"Holmenkollveien 140, 0791 Oslo",Oslo,Oslo,59.96324,10.67044,Oslo kommune
1469,Holmenkollveien,"Holmenkollveien 204, 0791 Oslo",Oslo,Oslo,59.97809,10.68066,Oslo kommune
4797,Holmestrandgata,"Holmestrandgata , 0468 Oslo",Oslo,Oslo,59.94243,10.76148,Oslo kommune
1618,"Holmlia Senter P-hus, Oslo","Holmlia Senter vei , 1155 Oslo",Oslo,Oslo,59.83481,10.7956,OBOS Forretningsbygg AS
85,Huk P-plass,"Strømsborgveien 57, 0287 Oslo",Oslo,Oslo,59.89829,10.67482,Oslo kommune
1935,"Hvervenbukta, Oslo","Ljansbuktveien , 1250 Oslo",Oslo,Oslo,59.8347,10.77494,Oslo kommune
6872,Håkons gate,"Håkons gate 11-13, 0652 Oslo",Oslo,Oslo,59.910043,10.776544,Oslo kommune
3829,"IKEA Furuset, Oslo","Strømsveien 103, 1081 Oslo",Oslo,Oslo,59.93403,10.87253,Recharge
6860,Idas vei,"Idas vei 142-144, 0981 Oslo",Oslo,Oslo,59.950796,10.946725,Oslo kommune
3537,"Industrigata 40, Oslo","Industrigata 40, 0357 Oslo",Oslo,Oslo,59.92631,10.72069,Oslo kommune
1470,"Jacobs på Holtet, Oslo","Ekebergveien 145, 1178 Oslo",Oslo,Oslo,59.88118,10.78681,Jacobs
2507,Jens Bjelkes gate,"Jens Bjelkes gate 14, 0562 Oslo",Oslo,Oslo,59.91832,10.76528,Oslo kommune
7280,Jordalgata 12,"Jordalgata 12, 0657 Oslo",Oslo,Oslo,59.9090685,10.7818404,Oslo kommune
6434,Josefines gate 38,"Josefines gate 38, 0258 Oslo",Oslo,Oslo,59.92131,10.72178,Oslo kommune
6496,Jørgen Løvlands gate,"Jørgen Løvlands gate 23, 0569 Oslo",Oslo,Oslo,59.92988,10.77663,Oslo kommune
2274,Jørgen Moes gate,"Jørgen Moes gate , 0259 Oslo",Oslo,Oslo,59.92157,10.71901,Oslo kommune
4984,K89 Oslo,"Karihaugveien 89, 1086 Oslo",Oslo,Oslo,59.94071,10.91984,Recharge
2508,Kaare Røddes plass,"Kaare Røddes plass , 0576 Oslo",Oslo,Oslo,59.92024,10.78485,Oslo kommune
6422,Kampengata,"Kampengata 21, 0654 Oslo",Oslo,Oslo,59.91253,10.78192,Oslo kommune
2509,Kampheimveien,"Kampheimveien , 0685 Oslo",Oslo,Oslo,59.89624,10.84625,Oslo kommune
1665,"Karenslyst Allé 56 P-anlegg, Oslo","Karenslyst Allé 56, 0277 Oslo",Oslo,Oslo,59.92107,10.67809,Fram Eiendomdrift AS
2510,"Karl Staaffs vei, Oslo","Karl Staaffs vei , 0665 Oslo",Oslo,Oslo,59.91937,10.81321,Oslo kommune
229,"Keyserløkka Sør Borettslag, Oslo","Einars vei 23, 0575 Oslo",Oslo,Oslo,59.92249,10.7819,Keyserløkka Sør Brl
4661,Kiellands P-hus,"Waldemar Thranes gate 72, 0175 Oslo",Oslo,Oslo,59.92848,10.75043,Q-Park
